,SerialNumber,BoardId,DateTime,GId,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Freq,Pac(W),Qac,CosPhi,Vdc1,Idc1,Pdc1,PacGrid,Energy(kWh)
0,380118000000,1DM182814A38,2019-05-01 06:15:00,GINASIO / INVERSOR A,131.95,131.62,132.06,0.0,0.0,0.0,59.99,0.0,0.0,0.0,660.27,0.0,0.0,0,0.0
1,380118000000,1DM182814A38,2019-05-01 06:30:00,GINASIO / INVERSOR A,132.36,132.06,132.45,0.0,0.0,0.0,60.0,0.0,0.0,0.0,806.2,0.0,0.0,0,0.0
2,380118000000,1DM182814A38,2019-05-01 06:45:00,GINASIO / INVERSOR A,132.34,132.03,132.49,0.0,0.0,0.0,60.0,0.0,0.0,0.0,874.4,0.0,0.0,0,0.0
3,380118000000,1DM182814A38,2019-05-01 07:00:00,GINASIO / INVERSOR A,132.26,131.98,132.41,0.0,0.0,0.0,59.99,0.0,0.0,0.0,891.11,0.0,0.0,0,0.0
4,380118000000,1DM182814A38,2019-05-01 07:15:00,GINASIO / INVERSOR A,131.96,131.69,132.12,0.0,0.0,0.0,59.99,0.0,0.0,0.0,901.21,0.0,0.0,0,0.0
5,380118000000,1DM182814A38,2019-05-01 07:30:00,GINASIO / INVERSOR A,131.1,130.87,131.3,0.0,0.0,0.0,59.99,0.0,0.0,0.0,913.55,0.0,0.0,0,0.0
6,380118000000,1DM182814A38,2019-05-01 07:45:00,GINASIO / INVERSOR A,131.03,130.81,131.21,0.0,0.0,0.0,59.99,0.0,0.0,0.0,908.49,0.0,0.0,0,0.0
7,380118000000,1DM182814A38,2019-05-01 08:00:00,GINASIO / INVERSOR A,130.98,130.76,131.16,0.0,0.0,0.0,59.99,0.0,0.0,0.0,903.73,0.0,0.0,0,0.0
8,380118000000,1DM182814A38,2019-05-01 08:15:00,GINASIO / INVERSOR A,131.11,130.91,131.26,0.0,0.0,0.0,59.97,0.0,0.0,0.0,905.85,0.0,0.0,0,0.0
9,380118000000,1DM182814A38,2019-05-01 08:30:00,GINASIO / INVERSOR A,132.29,132.07,132.47,0.0,0.0,0.0,60.01,0.0,0.0,0.0,919.03,0.0,0.0,0,0.0
10,380118000000,1DM182814A38,2019-05-01 08:45:00,GINASIO / INVERSOR A,132.03,131.86,132.19,0.0,0.0,0.0,59.99,0.0,0.0,0.0,915.7,0.0,0.0,0,0.0
11,380118000000,1DM182814A38,2019-05-01 09:00:00,GINASIO / INVERSOR A,131.67,131.51,131.84,0.0,0.0,0.0,59.98,0.0,0.0,0.0,910.61,0.0,0.0,0,0.0
12,380118000000,1DM182814A38,2019-05-01 09:15:00,GINASIO / INVERSOR A,131.13,130.99,131.32,0.0,0.0,0.0,59.98,0.0,0.0,0.0,889.91,0.0,0.0,0,0.0
13,380118000000,1DM182814A38,2019-05-01 09:30:00,GINASIO / INVERSOR A,131.58,131.43,131.79,0.0,0.0,0.0,60.01,0.0,0.0,0.0,908.74,0.0,0.0,0,0.0
14,380118000000,1DM182814A38,2019-05-01 09:45:00,GINASIO / INVERSOR A,131.4,131.2,131.56,0.0,0.0,0.0,60.0,0.0,0.0,0.0,894.66,0.0,0.0,0,0.0
15,380118000000,1DM182814A38,2019-05-01 10:00:00,GINASIO / INVERSOR A,131.55,131.38,131.7,0.0,0.0,0.0,59.99,0.0,0.0,0.0,892.17,0.0,0.0,0,0.0
16,380118000000,1DM182814A38,2019-05-01 10:15:00,GINASIO / INVERSOR A,131.34,131.18,131.49,0.0,0.0,0.0,59.98,0.0,0.0,0.0,885.11,0.0,0.0,0,0.0
17,380118000000,1DM182814A38,2019-05-01 10:30:00,GINASIO / INVERSOR A,131.16,131.0,131.28,0.0,0.0,0.0,59.97,0.0,0.0,0.0,888.8,0.0,0.0,0,0.0
18,380118000000,1DM182814A38,2019-05-01 10:45:00,GINASIO / INVERSOR A,131.67,131.52,131.8,0.0,0.0,0.0,60.01,0.0,0.0,0.0,874.25,0.0,0.0,0,0.0
19,380118000000,1DM182814A38,2019-05-01 11:00:00,GINASIO / INVERSOR A,131.29,131.15,131.39,0.0,0.0,0.0,60.01,0.0,0.0,0.0,890.63,0.0,0.0,0,0.0
20,380118000000,1DM182814A38,2019-05-01 11:15:00,GINASIO / INVERSOR A,130.83,130.71,130.95,0.0,0.0,0.0,59.99,0.0,0.0,0.0,869.3,0.0,0.0,0,0.0
21,380118000000,1DM182814A38,2019-05-01 11:30:00,GINASIO / INVERSOR A,131.48,131.32,131.55,0.0,0.0,0.0,60.0,0.0,0.0,0.0,882.4,0.0,0.0,0,0.0
